module,test_path,cjc_result,cjwasm_result
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0005814/test_bug_0005814.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0005819/test_bug_0005819.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0005869/test_bug_0005869_bil_i16.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0005869/test_bug_0005869_bil_i32.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0005869/test_bug_0005869_bil_i64.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0005869/test_bug_0005869_bil_i8.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0005869/test_bug_0005869_oil_i16.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0005869/test_bug_0005869_oil_i32.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0005869/test_bug_0005869_oil_i8.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0005869/test_bug_0005869_xil_i16.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0005869/test_bug_0005869_xil_i32.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0005869/test_bug_0005869_xil_i64.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0005869/test_bug_0005869_xil_i8.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0005891/test_bug_0005891.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0005914/test_bug_0005914.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0006117/test_bug_0006117_01.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0006117/test_bug_0006117_02.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0006121/test_bug_0006121_04.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0006351/test_bug_0006351.cj","PASSED","FAILED"
"src/regression","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/regression/0006639/test_bug_0006639.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/01_identifiers_and_keywords/a06/test_a06_10.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/01_identifiers_and_keywords/a06/test_a06_24.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a01/test_a01_03.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a01/test_a01_04.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a01/test_a01_05.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a02/test_a02_02.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a02/test_a02_04.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a02/test_a02_06.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a02/test_a02_08.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a02/test_a02_11.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a03/test_a03_03.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a03/test_a03_04.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a03/test_a03_05.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a04/test_a04_06.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a04/test_a04_09.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a08/test_a08_02.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a08/test_a08_03.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a08/test_a08_04.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a08/test_a08_05.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a10/test_a10_04.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a10/test_a10_05.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a13/test_a13_02.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a13/test_a13_03.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a15/test_a15_02.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a15/test_a15_03.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a15/test_a15_04.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a15/test_a15_05.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/02_semicolons_and_newline_characters/a17/test_a17_03.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a02/test_a02_bil_u16.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a02/test_a02_bil_u16_1.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a02/test_a02_bil_u16_2.cj","PASSED","FAILED"
"src/tests/01_lexical_structure","/Users/sean/workspace/cangjie_oss/CJWasm2/third_party/cangjie_test/Conformance/Compiler/testsuite/src/tests/01_lexical_structure/03_literals/01_integer_literals/a02/test_a02_bil_u32.cj","PASSED","FAILED"
